Tracking_Number,Species,Date,Time,Lat,Long
44861,Kemp Ridley Sea Turtle,8/24/2005,0:49:01,39.423,76.637
44861,Kemp Ridley Sea Turtle,8/25/2005,14:37:54,38.242,75.103
44861,Kemp Ridley Sea Turtle,8/25/2005,18:46:06,38.235,75.138
44861,Kemp Ridley Sea Turtle,8/27/2005,20:30:51,38.269,75.114
44861,Kemp Ridley Sea Turtle,8/28/2005,1:20:37,38.278,75.182
44861,Kemp Ridley Sea Turtle,8/29/2005,21:38:33,38.35,75.028
44861,Kemp Ridley Sea Turtle,8/30/2005,3:52:02,38.306,75.106
44861,Kemp Ridley Sea Turtle,8/31/2005,17:48:26,38.247,75.121
44861,Kemp Ridley Sea Turtle,9/1/2005,0:06:15,38.28,75.116
44861,Kemp Ridley Sea Turtle,9/3/2005,3:57:13,38.439,74.981
44861,Kemp Ridley Sea Turtle,9/4/2005,22:08:22,38.842,74.87
44861,Kemp Ridley Sea Turtle,9/5/2005,1:34:35,38.831,75.177
44861,Kemp Ridley Sea Turtle,9/6/2005,20:14:57,38.8,75.281
44861,Kemp Ridley Sea Turtle,9/9/2005,8:13:11,38.964,75.298
44861,Kemp Ridley Sea Turtle,9/11/2005,0:57:06,38.952,75.304
44861,Kemp Ridley Sea Turtle,9/13/2005,1:35:55,38.947,75.351
44861,Kemp Ridley Sea Turtle,9/15/2005,7:08:02,39.033,75.351
44861,Kemp Ridley Sea Turtle,9/17/2005,12:44:19,39.024,75.341
44861,Kemp Ridley Sea Turtle,9/19/2005,10:16:51,38.921,75.293
44861,Kemp Ridley Sea Turtle,9/21/2005,7:35:38,38.955,75.302
44861,Kemp Ridley Sea Turtle,9/23/2005,8:54:03,39.079,75.376
44861,Kemp Ridley Sea Turtle,9/25/2005,16:13:51,39.157,75.289
44861,Kemp Ridley Sea Turtle,9/27/2005,17:07:52,39.208,75.327
44861,Kemp Ridley Sea Turtle,9/29/2005,8:13:35,39.073,75.424
44861,Kemp Ridley Sea Turtle,10/5/2005,18:01:11,39.139,75.485
44861,Kemp Ridley Sea Turtle,10/5/2005,21:18:55,39.081,75.454
44861,Kemp Ridley Sea Turtle,10/5/2005,21:52:31,38.867,74.436
44861,Kemp Ridley Sea Turtle,10/7/2005,22:50:46,39.321,75.183
44861,Kemp Ridley Sea Turtle,10/9/2005,23:41:02,39.375,75.315
44861,Kemp Ridley Sea Turtle,10/11/2005,17:35:38,38.823,75.7
44861,Kemp Ridley Sea Turtle,10/13/2005,19:51:50,38.972,75.245
44861,Kemp Ridley Sea Turtle,10/15/2005,16:48:07,38.717,75.089
44861,Kemp Ridley Sea Turtle,10/21/2005,19:56:48,38.875,75.08
44861,Kemp Ridley Sea Turtle,10/26/2005,3:46:00,38.107,74.752
47823,Harbor Seal,4/26/2005,7:33:32,36.837,76.004
47823,Harbor Seal,4/26/2005,21:00:28,36.927,75.977
47823,Harbor Seal,4/27/2005,9:17:21,37.01,75.557
47823,Harbor Seal,4/28/2005,8:52:09,37.618,75.206
47823,Harbor Seal,4/29/2005,2:21:10,38.153,74.931
47823,Harbor Seal,4/30/2005,2:01:57,38.847,74.935
47823,Harbor Seal,5/1/2005,6:32:40,39.595,74.096
47823,Harbor Seal,5/2/2005,2:56:05,39.973,73.486
47823,Harbor Seal,5/3/2005,19:18:49,40.855,72.259
47823,Harbor Seal,5/4/2005,11:22:06,41.205,71.909
47823,Harbor Seal,5/5/2005,7:29:46,41.344,71.096
47823,Harbor Seal,5/6/2005,17:01:44,41.432,70.917
47823,Harbor Seal,5/7/2005,1:01:53,41.455,70.857
47823,Harbor Seal,5/8/2005,12:54:15,41.448,70.815
47823,Harbor Seal,5/9/2005,0:20:19,41.495,70.891
47823,Harbor Seal,5/10/2005,6:30:25,41.366,70.783
47823,Harbor Seal,5/11/2005,8:01:09,41.2,69.869
47823,Harbor Seal,5/12/2005,4:08:20,41.824,69.713
47823,Harbor Seal,5/13/2005,9:32:45,42.27,69.662
47823,Harbor Seal,5/14/2005,22:13:31,43.656,69.695
47823,Harbor Seal,5/15/2005,1:20:35,43.714,69.767
47823,Harbor Seal,5/16/2005,2:37:29,43.794,69.594
47823,Harbor Seal,5/17/2005,8:29:02,43.762,69.578
47823,Harbor Seal,5/18/2005,0:04:59,43.76,69.593
47823,Harbor Seal,5/19/2005,8:09:13,43.795,69.59
47823,Harbor Seal,5/20/2005,1:20:32,43.794,69.594
47823,Harbor Seal,5/21/2005,4:03:47,43.796,69.584
47823,Harbor Seal,5/22/2005,1:59:19,43.794,69.585
47823,Harbor Seal,5/23/2005,1:35:46,43.726,69.546
47823,Harbor Seal,5/24/2005,1:14:03,43.118,69.822
47823,Harbor Seal,5/25/2005,0:50:10,43.077,69.488
47823,Harbor Seal,5/26/2005,13:59:45,43.04,68.817
47823,Harbor Seal,5/27/2005,10:41:34,43.143,69.108
47823,Harbor Seal,5/28/2005,19:33:04,43.272,69.497
47823,Harbor Seal,5/29/2005,2:40:09,43.519,69.395
47823,Harbor Seal,5/30/2005,7:42:55,43.812,69.62
47823,Harbor Seal,5/31/2005,1:53:57,43.794,69.59
47823,Harbor Seal,6/1/2005,1:32:29,43.798,69.587
47823,Harbor Seal,6/2/2005,9:29:34,43.377,69.555
47823,Harbor Seal,6/3/2005,20:58:19,43.124,69.379
47823,Harbor Seal,6/4/2005,13:46:07,43.349,69.27
47823,Harbor Seal,6/6/2005,10:04:46,43.065,68.983
47823,Harbor Seal,6/7/2005,0:56:20,42.877,68.995
47823,Harbor Seal,6/8/2005,14:25:01,42.877,69.377
47823,Harbor Seal,6/9/2005,3:26:11,42.861,69.39
47823,Harbor Seal,6/10/2005,11:10:35,43.224,69.736
47823,Harbor Seal,6/11/2005,8:45:16,43.796,69.591
47823,Harbor Seal,6/12/2005,8:39:47,43.796,69.588
47823,Harbor Seal,6/13/2005,13:31:06,43.794,69.566
47823,Harbor Seal,6/18/2005,19:16:40,43.3,69.521
47823,Harbor Seal,6/19/2005,8:52:32,43.762,69.591
47823,Harbor Seal,6/20/2005,10:26:18,43.788,69.586
47823,Harbor Seal,6/21/2005,23:49:41,43.369,69.372
47823,Harbor Seal,6/22/2005,18:05:53,43.37,69.463
47823,Harbor Seal,6/23/2005,23:05:08,43.282,69.447
47823,Harbor Seal,6/24/2005,12:57:34,43.375,69.521
47823,Harbor Seal,6/25/2005,17:29:41,43.864,69.468
47823,Harbor Seal,6/26/2005,9:10:47,43.787,69.629
47823,Harbor Seal,6/27/2005,15:35:36,43.588,69.746
47823,Harbor Seal,6/28/2005,7:04:57,43.023,70.015
47823,Harbor Seal,6/29/2005,2:48:09,42.857,69.53
47823,Harbor Seal,6/30/2005,18:14:28,43.384,69.554
47823,Harbor Seal,7/2/2005,1:24:16,43.797,69.589
39395,Gray Seal,1/15/2018,2:01:13,40.889,72.531
39395,Gray Seal,1/16/2018,12:42:35,41.672,71.612
39395,Gray Seal,1/17/2018,15:18:54,41.343,70.287
39395,Gray Seal,1/19/2018,0:41:45,41.323,70.325
39395,Gray Seal,1/19/2018,20:44:45,41.335,70.31
39395,Gray Seal,1/20/2018,23:24:34,41.331,70.327
39395,Gray Seal,1/25/2018,12:40:41,41.332,70.303
39395,Gray Seal,1/26/2018,15:30:37,41.331,70.308
39395,Gray Seal,1/28/2018,0:53:57,41.333,70.308
39395,Gray Seal,1/29/2018,2:10:56,41.334,70.297
39395,Gray Seal,1/30/2018,23:07:10,41.223,70.304
39395,Gray Seal,1/31/2018,20:06:09,40.948,70.17
39395,Gray Seal,2/2/2018,9:53:45,41.012,70.172
39395,Gray Seal,2/4/2018,22:38:27,41.056,70.374
39395,Gray Seal,2/5/2018,22:00:50,41.089,70.527
39395,Gray Seal,2/6/2018,23:25:51,41.154,70.822
39395,Gray Seal,2/8/2018,2:04:46,41.094,70.928
39395,Gray Seal,2/9/2018,0:47:23,41.059,70.921
39395,Gray Seal,2/11/2018,10:06:03,40.959,71.002
39395,Gray Seal,2/13/2018,1:07:17,40.848,71.113
39395,Gray Seal,2/16/2018,13:29:05,40.737,70.062
39395,Gray Seal,2/18/2018,2:02:45,40.989,69.867
39395,Gray Seal,2/19/2018,1:36:16,41.119,70.217
39395,Gray Seal,2/21/2018,0:04:46,41.178,69.875
39395,Gray Seal,2/22/2018,22:58:26,41.086,70.516
39395,Gray Seal,2/23/2018,20:47:53,41.054,70.758
39395,Gray Seal,2/24/2018,23:54:29,40.943,70.999
39395,Gray Seal,2/25/2018,13:29:35,40.918,71.176
39395,Gray Seal,2/28/2018,0:23:01,40.794,70.264
39395,Gray Seal,2/28/2018,9:37:33,40.832,70.087
39395,Gray Seal,3/3/2018,1:47:29,40.301,69.35
39395,Gray Seal,3/4/2018,0:25:40,40.341,69.672
39395,Gray Seal,3/4/2018,13:42:23,40.297,69.774
39395,Gray Seal,3/5/2018,23:21:06,40.59,70.132
39395,Gray Seal,3/7/2018,14:21:15,40.668,70.198
39395,Gray Seal,3/9/2018,2:03:50,40.649,70.147
39395,Gray Seal,3/9/2018,23:21:34,40.476,70.039
39395,Gray Seal,3/10/2018,11:05:55,40.402,69.986
39395,Gray Seal,3/14/2018,1:16:43,40.286,69.898
39395,Gray Seal,3/15/2018,11:13:34,40.308,70.033
